Date,Open,High,Low,Close,Volume
2023-02-06,167.06685208885642,170.21924265560128,166.4204685521742,168.11102294921875,4310600
2023-02-07,166.63925906300176,170.77614129096943,165.6845845956025,170.32864379882812,6179200
2023-02-08,169.0557451772405,171.4921337641055,168.2900178474138,168.68780517578125,7694500
2023-02-09,172.36726568616416,174.40588229579302,171.05459014957088,172.6954345703125,11512300
2023-02-10,166.72873941961387,168.79718792079098,164.4116795385939,166.10223388671875,11273700
2023-02-13,167.3453099345275,170.20931821372477,166.02269542153812,170.1297607421875,8820300
2023-02-14,167.28562009309127,171.83022805253898,166.91768012066836,169.01596069335938,8393100
2023-02-15,167.91214041383842,170.65680472192938,167.30552800971992,170.14964294433594,4997000
2023-02-16,168.0513712763033,169.42369591755903,167.02709349864054,167.17625427246094,7483500
2023-02-17,164.1133569576313,166.18180563664342,161.8360831990567,164.25257873535156,8084500
2023-02-21,162.83052499035344,163.59623716286362,160.55323611107835,160.7222900390625,5210800
2023-02-22,162.2040253143184,164.08352692485988,161.20957969659196,162.45263671875,4343700
2023-02-23,164.37190405448519,164.5509121502688,160.67258043870362,163.20840454101562,4679400
2023-02-24,159.69801425278382,161.48801935627637,158.77318713416673,161.299072265625,6569900
2023-02-27,162.92996509333352,163.8548074010907,161.31896806089713,162.23385620117188,6891200
2023-02-28,161.62724508061436,163.53657884630184,160.63279946260823,162.7012481689453,6912600
2023-03-01,162.08468792575937,167.04696157833115,162.07473375873772,166.42047119140625,15841200
2023-03-02,192.04731700147997,192.8329374721538,184.1713101795058,185.5535888671875,37712500
2023-03-03,187.02539082074108,188.71594530182298,183.26637250176924,185.3944854736328,12087200
2023-03-06,184.04204863136778,187.95021243172877,182.6100445849947,182.7790985107422,10770300
2023-03-07,183.43545579202925,185.12601040384592,182.01339058701697,182.30178833007812,9024300
2023-03-08,182.2818846674701,183.87298855056773,180.79021624167092,181.93382263183594,6749100
2023-03-09,182.08298655199044,182.81886654872912,177.54830209089323,177.72731018066406,7102400
2023-03-10,177.50853639324433,178.36376020075582,170.75625756780235,172.21807861328125,14109000
2023-03-13,170.05019681847588,176.11632102021116,169.0557512230462,174.53514099121094,9154800
2023-03-14,179.00021350123757,184.2807173716783,178.11515749699845,181.87416076660156,10138100
2023-03-15,178.164872078825,182.8387632260573,177.2201518215177,181.89404296875,7716900
2023-03-16,182.28187652242116,186.60770565952276,181.9636466555998,186.25965881347656,8369500
2023-03-17,185.00665020663627,186.61766237485568,183.15698080907728,183.82327270507812,10493300
2023-03-20,183.1868372922386,184.48955864761044,181.6354893538196,184.22105407714844,5513200
2023-03-21,184.83759881722253,188.22866195500785,183.86304637794768,187.63198852539062,6982000
2023-03-22,188.94464988846136,190.37665387335628,185.37459409286345,185.47402954101562,6575600
